timestamp,angle,distance
2025-06-26 20:12:20,90,27.4
2025-06-26 20:15:31,0,5.87
2025-06-26 20:15:34,30,5.87
2025-06-26 20:15:37,60,5.87
2025-06-26 20:15:41,90,5.87
2025-06-26 20:15:44,120,5.87
2025-06-26 20:15:47,150,5.87
2025-06-26 20:15:50,180,5.87
2025-06-26 20:15:53,0,5.87
2025-06-26 20:15:57,30,5.87
2025-06-26 20:16:00,60,5.87
2025-06-26 20:16:03,90,5.87
2025-06-26 20:16:06,120,5.87
2025-06-26 20:16:11,150,6.84
2025-06-26 20:16:14,180,6.84
2025-06-26 20:16:17,0,6.84
2025-06-26 20:16:21,30,6.84
2025-06-26 20:16:26,60,6.84
2025-06-26 20:16:30,90,5.87
2025-06-26 20:16:33,120,5.87
2025-06-26 20:16:36,150,9.84
2025-06-26 20:16:39,180,9.84
2025-06-26 20:16:42,0,9.84
2025-06-26 20:16:46,30,5.87
2025-06-26 20:16:49,60,9.84
2025-06-26 20:16:52,90,9.84
2025-06-26 20:16:55,120,9.84
2025-06-26 20:16:58,150,9.84
2025-06-26 20:17:02,180,9.84
2025-06-26 20:17:05,0,8.13
2025-06-26 20:17:08,30,6.84
2025-06-26 20:17:11,60,10.19
2025-06-26 20:17:14,90,9.84
2025-06-26 20:17:17,120,10.19
2025-06-26 20:17:22,150,10.19
2025-06-26 20:17:25,180,9.83
2025-06-26 20:17:29,0,9.84
2025-06-26 20:17:32,30,10.19
2025-06-26 20:17:35,60,9.84
2025-06-26 20:17:38,90,9.84
2025-06-26 20:17:41,120,9.84
2025-06-26 20:17:45,150,9.84
2025-06-26 20:17:48,180,9.84
2025-06-26 20:17:51,0,10.19
2025-06-26 20:17:54,30,10.19
2025-06-26 20:17:57,60,10.19
2025-06-26 20:18:01,90,9.83
2025-06-26 20:18:04,120,9.84
2025-06-26 20:18:07,150,9.84
2025-06-26 20:18:10,180,9.84
2025-06-26 20:18:14,0,5.87
2025-06-26 20:18:17,30,802.84
2025-06-26 20:18:20,60,802.86
2025-06-26 20:18:26,90,5.87
2025-06-26 20:18:29,120,10.19
2025-06-26 20:18:32,150,5.87
2025-06-26 20:18:39,180,5.87
2025-06-26 20:18:42,0,5.87
2025-06-26 20:18:45,30,5.87
2025-06-26 20:18:48,60,5.87
2025-06-26 20:18:51,90,5.87
2025-06-26 20:18:54,120,6.84
2025-06-26 20:18:58,150,5.87
2025-06-26 20:19:02,180,6.84
2025-06-26 20:19:05,0,6.84
2025-06-26 20:19:08,30,6.84
2025-06-26 20:19:11,60,6.84
2025-06-26 20:19:17,90,6.84
2025-06-26 20:19:20,120,8.47
2025-06-26 20:19:23,150,5.87
2025-06-26 20:19:26,180,5.87
2025-06-26 20:19:30,0,5.87
2025-06-26 20:19:33,30,6.84
2025-06-26 20:19:36,60,6.84
2025-06-26 20:19:39,90,6.84
2025-06-26 20:19:42,120,5.54
2025-06-26 20:19:46,150,6.84
2025-06-26 20:19:49,180,6.84
2025-06-26 20:19:52,0,6.84
2025-06-26 20:19:56,30,6.84
2025-06-26 20:19:59,60,6.84
2025-06-26 20:20:03,90,5.54
2025-06-26 20:20:06,120,6.84
2025-06-26 20:20:09,150,6.84
2025-06-26 20:20:12,180,6.84
2025-06-26 20:20:15,0,6.84
2025-06-26 20:20:18,30,6.84
2025-06-26 20:20:22,60,5.54
2025-06-26 20:20:25,90,6.84
2025-06-26 20:20:29,120,6.84
2025-06-26 20:20:32,150,6.84
2025-06-26 20:20:35,180,6.84
2025-06-26 20:20:38,0,6.84
2025-06-26 20:20:41,30,6.84
2025-06-26 20:20:45,60,6.84
2025-06-26 20:20:48,90,6.84
2025-06-26 20:20:51,120,5.54
2025-06-26 20:20:54,150,6.84
